variant,band_name,count,frequency
HHO,b53,11,0.367
HHO,b49,7,0.233
HHO,b107,5,0.167
HHO,b100,5,0.167
HHO,b70,4,0.133
HHO,b34,4,0.133
HHO,b71,4,0.133
HHO,b42,4,0.133
HHO,b22,4,0.133
HHO,b23,4,0.133
HHO,b65,3,0.1
HHO,b38,3,0.1
HHO,b99,3,0.1
HHO,b39,3,0.1
HHO,b105,3,0.1
HHO,b43,2,0.067
HHO,b30,2,0.067
HHO,b47,2,0.067
HHO,b69,2,0.067
HHO,b55,2,0.067
HHO,b95,2,0.067
HHO,b104,2,0.067
HHO,b101,2,0.067
HHO,b50,2,0.067
HHO,b41,2,0.067
HHO,b72,2,0.067
HHO,b15,2,0.067
HHO,b56,2,0.067
HHO,b63,2,0.067
HHO,b21,2,0.067
HHO,b96,2,0.067
HHO,b40,2,0.067
HHO,b32,2,0.067
HHO,b29,2,0.067
HHO,b46,2,0.067
HHO,b98,1,0.033
HHO,b68,1,0.033
HHO,b48,1,0.033
HHO,b28,1,0.033
HHO,b44,1,0.033
HHO,b27,1,0.033
HHO,b102,1,0.033
HHO,b20,1,0.033
HHO,b103,1,0.033
HHO,b24,1,0.033
HHO,b26,1,0.033
HHO,b57,1,0.033
HHO,b54,1,0.033
HHO,b31,1,0.033
HHO,b106,1,0.033
HHO,b33,1,0.033
HHO,b62,1,0.033
+SCI,b53,9,0.3
+SCI,b99,7,0.233
+SCI,b62,6,0.2
+SCI,b70,6,0.2
+SCI,b49,6,0.2
+SCI,b23,5,0.167
+SCI,b48,4,0.133
+SCI,b100,4,0.133
+SCI,b32,4,0.133
+SCI,b21,4,0.133
+SCI,b42,4,0.133
+SCI,b107,4,0.133
+SCI,b40,3,0.1
+SCI,b28,3,0.1
+SCI,b29,3,0.1
+SCI,b31,3,0.1
+SCI,b63,3,0.1
+SCI,b69,2,0.067
+SCI,b55,2,0.067
+SCI,b104,2,0.067
+SCI,b22,2,0.067
+SCI,b102,2,0.067
+SCI,b96,2,0.067
+SCI,b106,2,0.067
+SCI,b33,2,0.067
+SCI,b43,2,0.067
+SCI,b64,2,0.067
+SCI,b44,2,0.067
+SCI,b65,2,0.067
+SCI,b98,2,0.067
+SCI,b103,2,0.067
+SCI,b97,2,0.067
+SCI,b45,2,0.067
+SCI,b41,1,0.033
+SCI,b68,1,0.033
+SCI,b71,1,0.033
+SCI,b95,1,0.033
+SCI,b101,1,0.033
+SCI,b38,1,0.033
+SCI,b47,1,0.033
+SCI,b24,1,0.033
+SCI,b111,1,0.033
+SCI,b36,1,0.033
+SCI,b73,1,0.033
+SCI,b81,1,0.033
+SCI,b56,1,0.033
+SCI,b83,1,0.033
+SCI,b109,1,0.033
+SCI,b27,1,0.033
+SCI,b54,1,0.033
+SCI,b52,1,0.033
+SCI,b34,1,0.033
+SCI,b18,1,0.033
+SCI,b84,1,0.033
+SCI,b57,1,0.033
+SCI+SDGE,b38,7,0.233
+SCI+SDGE,b49,7,0.233
+SCI+SDGE,b53,6,0.2
+SCI+SDGE,b48,5,0.167
+SCI+SDGE,b106,5,0.167
+SCI+SDGE,b104,5,0.167
+SCI+SDGE,b99,5,0.167
+SCI+SDGE,b18,5,0.167
+SCI+SDGE,b42,5,0.167
+SCI+SDGE,b96,5,0.167
+SCI+SDGE,b43,4,0.133
+SCI+SDGE,b100,4,0.133
+SCI+SDGE,b24,4,0.133
+SCI+SDGE,b21,4,0.133
+SCI+SDGE,b23,4,0.133
+SCI+SDGE,b107,4,0.133
+SCI+SDGE,b97,3,0.1
+SCI+SDGE,b54,3,0.1
+SCI+SDGE,b73,3,0.1
+SCI+SDGE,b47,3,0.1
+SCI+SDGE,b56,3,0.1
+SCI+SDGE,b55,3,0.1
+SCI+SDGE,b39,3,0.1
+SCI+SDGE,b45,3,0.1
+SCI+SDGE,b79,2,0.067
+SCI+SDGE,b20,2,0.067
+SCI+SDGE,b32,2,0.067
+SCI+SDGE,b33,2,0.067
+SCI+SDGE,b67,2,0.067
+SCI+SDGE,b78,2,0.067
+SCI+SDGE,b83,2,0.067
+SCI+SDGE,b50,2,0.067
+SCI+SDGE,b34,2,0.067
+SCI+SDGE,b40,2,0.067
+SCI+SDGE,b63,2,0.067
+SCI+SDGE,b25,2,0.067
+SCI+SDGE,b72,2,0.067
+SCI+SDGE,b31,2,0.067
+SCI+SDGE,b103,2,0.067
+SCI+SDGE,b52,2,0.067
+SCI+SDGE,b29,2,0.067
+SCI+SDGE,b26,2,0.067
+SCI+SDGE,b44,2,0.067
+SCI+SDGE,b62,2,0.067
+SCI+SDGE,b91,1,0.033
+SCI+SDGE,b22,1,0.033
+SCI+SDGE,b28,1,0.033
+SCI+SDGE,b57,1,0.033
+SCI+SDGE,b80,1,0.033
+SCI+SDGE,b66,1,0.033
+SCI+SDGE,b77,1,0.033
+SCI+SDGE,b69,1,0.033
+SCI+SDGE,b65,1,0.033
+SCI+SDGE,b111,1,0.033
+SCI+SDGE,b94,1,0.033
+SCI+SDGE,b36,1,0.033
+SCI+SDGE,b64,1,0.033
+SCI+SDGE,b41,1,0.033
+SCI+SDGE,b81,1,0.033
+SCI+SDGE,b95,1,0.033
+SCI+SDGE,b17,1,0.033
+SCI+SDGE,b19,1,0.033
+SCI+SDGE,b70,1,0.033
+SCI+SDGE,b84,1,0.033
+SCI+SDGE,b14,1,0.033
+SCI+SDGE,b30,1,0.033
+SCI+SDGE+RSC,b24,7,0.233
+SCI+SDGE+RSC,b53,7,0.233
+SCI+SDGE+RSC,b23,6,0.2
+SCI+SDGE+RSC,b38,5,0.167
+SCI+SDGE+RSC,b70,4,0.133
+SCI+SDGE+RSC,b21,4,0.133
+SCI+SDGE+RSC,b29,4,0.133
+SCI+SDGE+RSC,b47,4,0.133
+SCI+SDGE+RSC,b71,3,0.1
+SCI+SDGE+RSC,b64,3,0.1
+SCI+SDGE+RSC,b22,3,0.1
+SCI+SDGE+RSC,b49,3,0.1
+SCI+SDGE+RSC,b42,3,0.1
+SCI+SDGE+RSC,b62,3,0.1
+SCI+SDGE+RSC,b107,3,0.1
+SCI+SDGE+RSC,b55,3,0.1
+SCI+SDGE+RSC,b99,3,0.1
+SCI+SDGE+RSC,b26,2,0.067
+SCI+SDGE+RSC,b48,2,0.067
+SCI+SDGE+RSC,b54,2,0.067
+SCI+SDGE+RSC,b40,2,0.067
+SCI+SDGE+RSC,b106,2,0.067
+SCI+SDGE+RSC,b15,2,0.067
+SCI+SDGE+RSC,b73,2,0.067
+SCI+SDGE+RSC,b97,2,0.067
+SCI+SDGE+RSC,b100,2,0.067
+SCI+SDGE+RSC,b56,1,0.033
+SCI+SDGE+RSC,b28,1,0.033
+SCI+SDGE+RSC,b104,1,0.033
+SCI+SDGE+RSC,b67,1,0.033
+SCI+SDGE+RSC,b50,1,0.033
+SCI+SDGE+RSC,b52,1,0.033
+SCI+SDGE+RSC,b17,1,0.033
+SCI+SDGE+RSC,b51,1,0.033
+SCI+SDGE+RSC,b25,1,0.033
+SCI+SDGE+RSC,b39,1,0.033
+SCI+SDGE+RSC,b95,1,0.033
+SCI+SDGE+RSC,b33,1,0.033
+SCI+SDGE+RSC,b44,1,0.033
+SCI+SDGE+RSC,b30,1,0.033
+SCI+SDGE+RSC,b43,1,0.033
+SCI+SDGE+RSC,b32,1,0.033
+SCI+SDGE+RSC,b96,1,0.033
SSAHHO,b49,7,0.233
SSAHHO,b24,7,0.233
SSAHHO,b53,7,0.233
SSAHHO,b71,6,0.2
SSAHHO,b38,6,0.2
SSAHHO,b42,6,0.2
SSAHHO,b23,6,0.2
SSAHHO,b55,4,0.133
SSAHHO,b21,4,0.133
SSAHHO,b22,3,0.1
SSAHHO,b107,3,0.1
SSAHHO,b99,3,0.1
SSAHHO,b26,2,0.067
SSAHHO,b28,2,0.067
SSAHHO,b54,2,0.067
SSAHHO,b63,2,0.067
SSAHHO,b106,2,0.067
SSAHHO,b15,2,0.067
SSAHHO,b72,2,0.067
SSAHHO,b27,2,0.067
SSAHHO,b96,2,0.067
SSAHHO,b100,2,0.067
SSAHHO,b47,2,0.067
SSAHHO,b31,2,0.067
SSAHHO,b29,2,0.067
SSAHHO,b62,2,0.067
SSAHHO,b69,1,0.033
SSAHHO,b70,1,0.033
SSAHHO,b56,1,0.033
SSAHHO,b103,1,0.033
SSAHHO,b52,1,0.033
SSAHHO,b18,1,0.033
SSAHHO,b39,1,0.033
SSAHHO,b50,1,0.033
SSAHHO,b64,1,0.033
SSAHHO,b25,1,0.033
SSAHHO,b95,1,0.033
SSAHHO,b46,1,0.033
SSAHHO,b45,1,0.033
SSAHHO,b97,1,0.033
