variant,band,count,frequency
HHO,b58,6,0.15
HHO,b17,4,0.1
HHO,b70,4,0.1
HHO,b76,4,0.1
HHO,b98,4,0.1
HHO,b92,4,0.1
HHO,b99,3,0.075
HHO,b68,3,0.075
HHO,b14,3,0.075
HHO,b144,3,0.075
HHO,b93,3,0.075
HHO,b60,3,0.075
HHO,b94,3,0.075
HHO,b20,3,0.075
HHO,b33,3,0.075
HHO,b57,2,0.05
HHO,b107,2,0.05
HHO,b142,2,0.05
HHO,b61,2,0.05
HHO,b100,2,0.05
HHO,b137,2,0.05
HHO,b71,2,0.05
HHO,b73,2,0.05
HHO,b83,2,0.05
HHO,b65,2,0.05
HHO,b79,2,0.05
HHO,b23,2,0.05
HHO,b26,2,0.05
HHO,b127,2,0.05
HHO,b131,2,0.05
HHO,b146,2,0.05
HHO,b152,2,0.05
HHO,b22,2,0.05
HHO,b29,2,0.05
HHO,b30,2,0.05
HHO,b35,2,0.05
HHO,b77,2,0.05
HHO,b149,2,0.05
HHO,b162,2,0.05
HHO,b136,2,0.05
HHO,b161,2,0.05
HHO,b78,2,0.05
HHO,b21,2,0.05
HHO,b82,2,0.05
HHO,b156,2,0.05
HHO,b32,2,0.05
HHO,b69,2,0.05
HHO,b59,2,0.05
HHO,b157,2,0.05
HHO,b47,1,0.025
HHO,b52,1,0.025
HHO,b117,1,0.025
HHO,b121,1,0.025
HHO,b16,1,0.025
HHO,b38,1,0.025
HHO,b102,1,0.025
HHO,b106,1,0.025
HHO,b56,1,0.025
HHO,b50,1,0.025
HHO,b62,1,0.025
HHO,b96,1,0.025
HHO,b97,1,0.025
HHO,b153,1,0.025
HHO,b45,1,0.025
HHO,b49,1,0.025
HHO,b124,1,0.025
HHO,b130,1,0.025
HHO,b72,1,0.025
HHO,b66,1,0.025
HHO,b75,1,0.025
HHO,b133,1,0.025
HHO,b15,1,0.025
HHO,b91,1,0.025
HHO,b42,1,0.025
HHO,b103,1,0.025
HHO,b104,1,0.025
HHO,b110,1,0.025
HHO,b143,1,0.025
HHO,b101,1,0.025
HHO,b81,1,0.025
HHO,b90,1,0.025
HHO,b31,1,0.025
HHO,b27,1,0.025
HHO,b48,1,0.025
HHO,b108,1,0.025
HHO,b119,1,0.025
HHO,b126,1,0.025
HHO,b141,1,0.025
HHO,b86,1,0.025
HHO,b109,1,0.025
HHO,b18,1,0.025
HHO,b111,1,0.025
HHO,b40,1,0.025
HHO,b63,1,0.025
HHO,b80,1,0.025
HHO,b120,1,0.025
HHO,b132,1,0.025
HHO,b145,1,0.025
MSHHO_I1,b24,6,0.15
MSHHO_I1,b63,4,0.1
MSHHO_I1,b25,4,0.1
MSHHO_I1,b29,4,0.1
MSHHO_I1,b66,4,0.1
MSHHO_I1,b68,3,0.075
MSHHO_I1,b22,3,0.075
MSHHO_I1,b20,3,0.075
MSHHO_I1,b72,3,0.075
MSHHO_I1,b78,3,0.075
MSHHO_I1,b70,3,0.075
MSHHO_I1,b99,3,0.075
MSHHO_I1,b27,3,0.075
MSHHO_I1,b58,3,0.075
MSHHO_I1,b14,2,0.05
MSHHO_I1,b31,2,0.05
MSHHO_I1,b64,2,0.05
MSHHO_I1,b34,2,0.05
MSHHO_I1,b71,2,0.05
MSHHO_I1,b61,2,0.05
MSHHO_I1,b73,2,0.05
MSHHO_I1,b91,2,0.05
MSHHO_I1,b57,2,0.05
MSHHO_I1,b30,2,0.05
MSHHO_I1,b59,2,0.05
MSHHO_I1,b23,2,0.05
MSHHO_I1,b62,2,0.05
MSHHO_I1,b112,2,0.05
MSHHO_I1,b38,2,0.05
MSHHO_I1,b102,2,0.05
MSHHO_I1,b26,2,0.05
MSHHO_I1,b21,1,0.025
MSHHO_I1,b56,1,0.025
MSHHO_I1,b67,1,0.025
MSHHO_I1,b53,1,0.025
MSHHO_I1,b83,1,0.025
MSHHO_I1,b98,1,0.025
MSHHO_I1,b146,1,0.025
MSHHO_I1,b35,1,0.025
MSHHO_I1,b87,1,0.025
MSHHO_I1,b92,1,0.025
MSHHO_I1,b103,1,0.025
MSHHO_I1,b106,1,0.025
MSHHO_I1,b129,1,0.025
MSHHO_I1,b130,1,0.025
MSHHO_I1,b148,1,0.025
MSHHO_I1,b100,1,0.025
MSHHO_I1,b119,1,0.025
MSHHO_I1,b157,1,0.025
MSHHO_I1,b121,1,0.025
MSHHO_I1,b155,1,0.025
MSHHO_I1,b44,1,0.025
MSHHO_I1,b65,1,0.025
MSHHO_I1,b18,1,0.025
MSHHO_I1,b79,1,0.025
MSHHO_I1,b84,1,0.025
MSHHO_I1,b118,1,0.025
MSHHO_I1,b159,1,0.025
MSHHO_I1,b160,1,0.025
MSHHO_I1,b81,1,0.025
MSHHO_I1,b122,1,0.025
MSHHO_I1,b138,1,0.025
MSHHO_I1,b95,1,0.025
MSHHO_I1,b144,1,0.025
MSHHO_I1,b161,1,0.025
MSHHO_I1,b152,1,0.025
MSHHO_I1,b76,1,0.025
MSHHO_I1,b143,1,0.025
MSHHO_I1,b74,1,0.025
MSHHO_I1,b48,1,0.025
MSHHO_I2,b59,7,0.175
MSHHO_I2,b161,6,0.15
MSHHO_I2,b71,5,0.125
MSHHO_I2,b32,4,0.1
MSHHO_I2,b55,4,0.1
MSHHO_I2,b99,4,0.1
MSHHO_I2,b78,4,0.1
MSHHO_I2,b66,4,0.1
MSHHO_I2,b93,4,0.1
MSHHO_I2,b58,4,0.1
MSHHO_I2,b70,4,0.1
MSHHO_I2,b34,3,0.075
MSHHO_I2,b26,3,0.075
MSHHO_I2,b31,3,0.075
MSHHO_I2,b60,3,0.075
MSHHO_I2,b152,3,0.075
MSHHO_I2,b156,3,0.075
MSHHO_I2,b92,3,0.075
MSHHO_I2,b79,3,0.075
MSHHO_I2,b106,3,0.075
MSHHO_I2,b77,3,0.075
MSHHO_I2,b72,3,0.075
MSHHO_I2,b103,3,0.075
MSHHO_I2,b17,3,0.075
MSHHO_I2,b18,3,0.075
MSHHO_I2,b98,3,0.075
MSHHO_I2,b68,3,0.075
MSHHO_I2,b142,3,0.075
MSHHO_I2,b23,2,0.05
MSHHO_I2,b53,2,0.05
MSHHO_I2,b111,2,0.05
MSHHO_I2,b113,2,0.05
MSHHO_I2,b24,2,0.05
MSHHO_I2,b69,2,0.05
MSHHO_I2,b65,2,0.05
MSHHO_I2,b73,2,0.05
MSHHO_I2,b94,2,0.05
MSHHO_I2,b112,2,0.05
MSHHO_I2,b127,2,0.05
MSHHO_I2,b133,2,0.05
MSHHO_I2,b75,2,0.05
MSHHO_I2,b36,2,0.05
MSHHO_I2,b61,2,0.05
MSHHO_I2,b80,2,0.05
MSHHO_I2,b96,2,0.05
MSHHO_I2,b104,2,0.05
MSHHO_I2,b125,2,0.05
MSHHO_I2,b141,2,0.05
MSHHO_I2,b159,2,0.05
MSHHO_I2,b67,2,0.05
MSHHO_I2,b33,2,0.05
MSHHO_I2,b57,2,0.05
MSHHO_I2,b21,2,0.05
MSHHO_I2,b22,2,0.05
MSHHO_I2,b81,2,0.05
MSHHO_I2,b157,2,0.05
MSHHO_I2,b91,2,0.05
MSHHO_I2,b138,2,0.05
MSHHO_I2,b101,2,0.05
MSHHO_I2,b76,2,0.05
MSHHO_I2,b143,2,0.05
MSHHO_I2,b25,1,0.025
MSHHO_I2,b89,1,0.025
MSHHO_I2,b20,1,0.025
MSHHO_I2,b87,1,0.025
MSHHO_I2,b134,1,0.025
MSHHO_I2,b27,1,0.025
MSHHO_I2,b136,1,0.025
MSHHO_I2,b63,1,0.025
MSHHO_I2,b137,1,0.025
MSHHO_I2,b49,1,0.025
MSHHO_I2,b64,1,0.025
MSHHO_I2,b102,1,0.025
MSHHO_I2,b132,1,0.025
MSHHO_I2,b149,1,0.025
MSHHO_I2,b51,1,0.025
MSHHO_I2,b62,1,0.025
MSHHO_I2,b123,1,0.025
MSHHO_I2,b41,1,0.025
MSHHO_I2,b97,1,0.025
MSHHO_I2,b100,1,0.025
MSHHO_I2,b109,1,0.025
MSHHO_I2,b146,1,0.025
MSHHO_I2,b155,1,0.025
MSHHO_I2,b160,1,0.025
MSHHO_I2,b56,1,0.025
MSHHO_I2,b105,1,0.025
MSHHO_I2,b118,1,0.025
MSHHO_I2,b140,1,0.025
MSHHO_I2,b15,1,0.025
MSHHO_I2,b19,1,0.025
MSHHO_I2,b74,1,0.025
MSHHO_I2,b28,1,0.025
MSHHO_I2,b107,1,0.025
MSHHO_I2,b84,1,0.025
MSHHO_I2,b128,1,0.025
MSHHO_I2,b131,1,0.025
MSHHO_I2,b144,1,0.025
MSHHO_I2,b162,1,0.025
MSHHO_I2,b37,1,0.025
MSHHO_I2,b145,1,0.025
MSHHO_I2,b154,1,0.025
MSHHO_I2,b114,1,0.025
MSHHO_I2,b158,1,0.025
MSHHO_I2,b40,1,0.025
MSHHO_I2,b126,1,0.025
MSHHO_I2,b153,1,0.025
MSHHO_I2,b90,1,0.025
MSHHO_I2,b35,1,0.025
MSHHO_I2,b117,1,0.025
MSHHO_I3,b71,3,0.075
MSHHO_I3,b68,3,0.075
MSHHO_I3,b70,3,0.075
MSHHO_I3,b80,2,0.05
MSHHO_I3,b93,2,0.05
MSHHO_I3,b75,2,0.05
MSHHO_I3,b69,2,0.05
MSHHO_I3,b82,2,0.05
MSHHO_I3,b77,2,0.05
MSHHO_I3,b58,2,0.05
MSHHO_I3,b99,2,0.05
MSHHO_I3,b84,1,0.025
MSHHO_I3,b90,1,0.025
MSHHO_I3,b88,1,0.025
MSHHO_I3,b78,1,0.025
MSHHO_I3,b21,1,0.025
MSHHO_I3,b66,1,0.025
MSHHO_I3,b73,1,0.025
MSHHO_I3,b72,1,0.025
MSHHO_I3,b98,1,0.025
MSHHO_I3,b53,1,0.025
MSHHO_I3,b91,1,0.025
MSHHO_I3,b49,1,0.025
MSHHO_I3,b136,1,0.025
MSHHO_I3,b23,1,0.025
MSHHO_I3,b31,1,0.025
MSHHO_I3,b146,1,0.025
MSHHO_I3,b85,1,0.025
MSHHO_I3,b76,1,0.025
MSHHO_I3,b65,1,0.025
MSHHO_I3,b55,1,0.025
MSHHO_I3,b27,1,0.025
MSHHO_I3,b34,1,0.025
MSHHO_I3,b59,1,0.025
MSHHO_I3,b94,1,0.025
MSHHO_I3,b143,1,0.025
MSHHO_I3,b43,1,0.025
MSHHO,b72,6,0.15
MSHHO,b71,6,0.15
MSHHO,b58,4,0.1
MSHHO,b59,4,0.1
MSHHO,b31,3,0.075
MSHHO,b66,3,0.075
MSHHO,b93,3,0.075
MSHHO,b24,3,0.075
MSHHO,b70,3,0.075
MSHHO,b143,3,0.075
MSHHO,b80,3,0.075
MSHHO,b77,3,0.075
MSHHO,b92,2,0.05
MSHHO,b55,2,0.05
MSHHO,b98,2,0.05
MSHHO,b91,2,0.05
MSHHO,b100,2,0.05
MSHHO,b32,2,0.05
MSHHO,b38,2,0.05
MSHHO,b27,2,0.05
MSHHO,b144,2,0.05
MSHHO,b56,2,0.05
MSHHO,b33,2,0.05
MSHHO,b23,1,0.025
MSHHO,b112,1,0.025
MSHHO,b118,1,0.025
MSHHO,b120,1,0.025
MSHHO,b68,1,0.025
MSHHO,b81,1,0.025
MSHHO,b65,1,0.025
MSHHO,b53,1,0.025
MSHHO,b101,1,0.025
MSHHO,b39,1,0.025
MSHHO,b133,1,0.025
MSHHO,b106,1,0.025
MSHHO,b111,1,0.025
MSHHO,b152,1,0.025
MSHHO,b147,1,0.025
MSHHO,b28,1,0.025
MSHHO,b29,1,0.025
MSHHO,b35,1,0.025
MSHHO,b36,1,0.025
MSHHO,b37,1,0.025
MSHHO,b140,1,0.025
MSHHO,b84,1,0.025
MSHHO,b108,1,0.025
MSHHO,b117,1,0.025
MSHHO,b86,1,0.025
MSHHO,b88,1,0.025
MSHHO,b79,1,0.025
MSHHO,b150,1,0.025
MSHHO,b74,1,0.025
MSHHO,b137,1,0.025
MSHHO,b82,1,0.025
