variant,band_name,count,frequency
HHO,b23,18,0.6
HHO,b21,15,0.5
HHO,b22,13,0.433
HHO,b71,8,0.267
HHO,b64,6,0.2
HHO,b25,6,0.2
HHO,b24,6,0.2
HHO,b29,6,0.2
HHO,b26,5,0.167
HHO,b45,5,0.167
HHO,b72,5,0.167
HHO,b43,4,0.133
HHO,b99,4,0.133
HHO,b42,3,0.1
HHO,b38,3,0.1
HHO,b40,3,0.1
HHO,b17,3,0.1
HHO,b28,3,0.1
HHO,b32,3,0.1
HHO,b44,2,0.067
HHO,b63,2,0.067
HHO,b65,2,0.067
HHO,b30,2,0.067
HHO,b66,2,0.067
HHO,b111,2,0.067
HHO,b70,1,0.033
HHO,b108,1,0.033
HHO,b100,1,0.033
HHO,b68,1,0.033
HHO,b27,1,0.033
HHO,b46,1,0.033
HHO,b33,1,0.033
+SCI+SDGE,b23,20,0.667
+SCI+SDGE,b21,13,0.433
+SCI+SDGE,b22,12,0.4
+SCI+SDGE,b43,8,0.267
+SCI+SDGE,b25,8,0.267
+SCI+SDGE,b24,7,0.233
+SCI+SDGE,b38,6,0.2
+SCI+SDGE,b71,6,0.2
+SCI+SDGE,b44,5,0.167
+SCI+SDGE,b100,5,0.167
+SCI+SDGE,b72,5,0.167
+SCI+SDGE,b37,4,0.133
+SCI+SDGE,b63,3,0.1
+SCI+SDGE,b64,3,0.1
+SCI+SDGE,b17,3,0.1
+SCI+SDGE,b111,3,0.1
+SCI+SDGE,b45,3,0.1
+SCI+SDGE,b29,3,0.1
+SCI+SDGE,b48,3,0.1
+SCI+SDGE,b42,3,0.1
+SCI+SDGE,b39,2,0.067
+SCI+SDGE,b66,2,0.067
+SCI+SDGE,b32,2,0.067
+SCI+SDGE,b26,2,0.067
+SCI+SDGE,b67,2,0.067
+SCI+SDGE,b99,2,0.067
+SCI+SDGE,b33,2,0.067
+SCI+SDGE,b28,1,0.033
+SCI+SDGE,b55,1,0.033
+SCI+SDGE,b56,1,0.033
+SCI+SDGE,b65,1,0.033
+SCI+SDGE,b68,1,0.033
+SCI+SDGE,b70,1,0.033
