variant,band_name,count,frequency
HHO,b23,9,0.3
HHO,b53,7,0.233
HHO,b38,5,0.167
HHO,b39,5,0.167
HHO,b47,4,0.133
HHO,b42,4,0.133
HHO,b95,4,0.133
HHO,b49,4,0.133
HHO,b100,3,0.1
HHO,b44,3,0.1
HHO,b105,3,0.1
HHO,b106,3,0.1
HHO,b29,3,0.1
HHO,b48,2,0.067
HHO,b34,2,0.067
HHO,b107,2,0.067
HHO,b56,2,0.067
HHO,b96,2,0.067
HHO,b41,2,0.067
HHO,b40,2,0.067
HHO,b24,2,0.067
HHO,b21,2,0.067
HHO,b57,2,0.067
HHO,b17,2,0.067
HHO,b22,2,0.067
HHO,b26,2,0.067
HHO,b37,2,0.067
HHO,b25,1,0.033
HHO,b68,1,0.033
HHO,b99,1,0.033
HHO,b30,1,0.033
HHO,b14,1,0.033
HHO,b63,1,0.033
HHO,b72,1,0.033
HHO,b15,1,0.033
HHO,b28,1,0.033
HHO,b79,1,0.033
HHO,b66,1,0.033
HHO,b16,1,0.033
HHO,b27,1,0.033
HHO,b104,1,0.033
HHO,b33,1,0.033
HHO,b103,1,0.033
HHO,b71,1,0.033
HHO,b36,1,0.033
HHO,b109,1,0.033
HHO,b70,1,0.033
HHO,b32,1,0.033
HHO,b111,1,0.033
HHO,b81,1,0.033
HHO,b46,1,0.033
HHO,b43,1,0.033
HHO,b69,1,0.033
HHO,b98,1,0.033
+SCI,b23,6,0.2
+SCI,b45,5,0.167
+SCI,b48,4,0.133
+SCI,b44,4,0.133
+SCI,b43,4,0.133
+SCI,b42,3,0.1
+SCI,b28,3,0.1
+SCI,b24,3,0.1
+SCI,b21,3,0.1
+SCI,b100,3,0.1
+SCI,b53,3,0.1
+SCI,b18,3,0.1
+SCI,b99,3,0.1
+SCI,b62,3,0.1
+SCI,b25,2,0.067
+SCI,b22,2,0.067
+SCI,b46,2,0.067
+SCI,b31,2,0.067
+SCI,b57,2,0.067
+SCI,b71,2,0.067
+SCI,b50,2,0.067
+SCI,b70,2,0.067
+SCI,b98,2,0.067
+SCI,b40,2,0.067
+SCI,b97,2,0.067
+SCI,b107,2,0.067
+SCI,b104,2,0.067
+SCI,b41,1,0.033
+SCI,b72,1,0.033
+SCI,b109,1,0.033
+SCI,b39,1,0.033
+SCI,b82,1,0.033
+SCI,b51,1,0.033
+SCI,b63,1,0.033
+SCI,b84,1,0.033
+SCI,b81,1,0.033
+SCI,b38,1,0.033
+SCI,b111,1,0.033
+SCI,b65,1,0.033
+SCI,b54,1,0.033
+SCI,b96,1,0.033
+SCI,b16,1,0.033
+SCI,b47,1,0.033
+SCI,b73,1,0.033
+SCI,b52,1,0.033
+SCI,b95,1,0.033
+SCI,b49,1,0.033
+SCI,b55,1,0.033
+SCI,b26,1,0.033
+SCI+SDGE,b53,6,0.2
+SCI+SDGE,b25,6,0.2
+SCI+SDGE,b24,5,0.167
+SCI+SDGE,b62,5,0.167
+SCI+SDGE,b23,4,0.133
+SCI+SDGE,b45,4,0.133
+SCI+SDGE,b71,4,0.133
+SCI+SDGE,b47,4,0.133
+SCI+SDGE,b49,3,0.1
+SCI+SDGE,b106,3,0.1
+SCI+SDGE,b38,3,0.1
+SCI+SDGE,b57,3,0.1
+SCI+SDGE,b26,3,0.1
+SCI+SDGE,b39,2,0.067
+SCI+SDGE,b55,2,0.067
+SCI+SDGE,b20,2,0.067
+SCI+SDGE,b96,2,0.067
+SCI+SDGE,b34,2,0.067
+SCI+SDGE,b56,2,0.067
+SCI+SDGE,b95,2,0.067
+SCI+SDGE,b104,2,0.067
+SCI+SDGE,b78,1,0.033
+SCI+SDGE,b21,1,0.033
+SCI+SDGE,b48,1,0.033
+SCI+SDGE,b72,1,0.033
+SCI+SDGE,b109,1,0.033
+SCI+SDGE,b28,1,0.033
+SCI+SDGE,b35,1,0.033
+SCI+SDGE,b50,1,0.033
+SCI+SDGE,b80,1,0.033
+SCI+SDGE,b67,1,0.033
+SCI+SDGE,b46,1,0.033
+SCI+SDGE,b82,1,0.033
+SCI+SDGE,b51,1,0.033
+SCI+SDGE,b79,1,0.033
+SCI+SDGE,b43,1,0.033
+SCI+SDGE,b81,1,0.033
+SCI+SDGE,b83,1,0.033
+SCI+SDGE,b30,1,0.033
+SCI+SDGE,b42,1,0.033
+SCI+SDGE,b84,1,0.033
+SCI+SDGE,b64,1,0.033
+SCI+SDGE,b54,1,0.033
+SCI+SDGE,b15,1,0.033
+SCI+SDGE,b103,1,0.033
+SCI+SDGE,b52,1,0.033
+SCI+SDGE,b41,1,0.033
+SCI+SDGE,b14,1,0.033
+SCI+SDGE,b98,1,0.033
+SCI+SDGE,b100,1,0.033
+SCI+SDGE,b16,1,0.033
+SCI+SDGE,b111,1,0.033
+SCI+SDGE,b22,1,0.033
+SCI+SDGE,b17,1,0.033
+SCI+SDGE,b18,1,0.033
+SCI+SDGE,b107,1,0.033
+SCI+SDGE,b99,1,0.033
+SCI+SDGE,b44,1,0.033
+SCI+SDGE,b37,1,0.033
+SCI+SDGE+RSC,b24,6,0.2
+SCI+SDGE+RSC,b45,5,0.167
+SCI+SDGE+RSC,b106,5,0.167
+SCI+SDGE+RSC,b23,5,0.167
+SCI+SDGE+RSC,b38,5,0.167
+SCI+SDGE+RSC,b42,4,0.133
+SCI+SDGE+RSC,b53,4,0.133
+SCI+SDGE+RSC,b22,4,0.133
+SCI+SDGE+RSC,b51,3,0.1
+SCI+SDGE+RSC,b44,3,0.1
+SCI+SDGE+RSC,b25,3,0.1
+SCI+SDGE+RSC,b57,3,0.1
+SCI+SDGE+RSC,b48,2,0.067
+SCI+SDGE+RSC,b49,2,0.067
+SCI+SDGE+RSC,b46,2,0.067
+SCI+SDGE+RSC,b37,2,0.067
+SCI+SDGE+RSC,b72,2,0.067
+SCI+SDGE+RSC,b39,2,0.067
+SCI+SDGE+RSC,b33,2,0.067
+SCI+SDGE+RSC,b21,2,0.067
+SCI+SDGE+RSC,b26,2,0.067
+SCI+SDGE+RSC,b100,1,0.033
+SCI+SDGE+RSC,b28,1,0.033
+SCI+SDGE+RSC,b35,1,0.033
+SCI+SDGE+RSC,b67,1,0.033
+SCI+SDGE+RSC,b105,1,0.033
+SCI+SDGE+RSC,b68,1,0.033
+SCI+SDGE+RSC,b73,1,0.033
+SCI+SDGE+RSC,b36,1,0.033
+SCI+SDGE+RSC,b20,1,0.033
+SCI+SDGE+RSC,b64,1,0.033
+SCI+SDGE+RSC,b54,1,0.033
+SCI+SDGE+RSC,b18,1,0.033
+SCI+SDGE+RSC,b50,1,0.033
+SCI+SDGE+RSC,b70,1,0.033
+SCI+SDGE+RSC,b69,1,0.033
+SCI+SDGE+RSC,b41,1,0.033
+SCI+SDGE+RSC,b47,1,0.033
+SCI+SDGE+RSC,b111,1,0.033
+SCI+SDGE+RSC,b56,1,0.033
+SCI+SDGE+RSC,b103,1,0.033
+SCI+SDGE+RSC,b29,1,0.033
+SCI+SDGE+RSC,b71,1,0.033
+SCI+SDGE+RSC,b62,1,0.033
+SCI+SDGE+RSC,b96,1,0.033
+SCI+SDGE+RSC,b99,1,0.033
+SCI+SDGE+RSC,b55,1,0.033
SSAHHO,b38,10,0.333
SSAHHO,b49,9,0.3
SSAHHO,b24,6,0.2
SSAHHO,b106,5,0.167
SSAHHO,b23,5,0.167
SSAHHO,b62,5,0.167
SSAHHO,b22,5,0.167
SSAHHO,b45,4,0.133
SSAHHO,b53,4,0.133
SSAHHO,b71,4,0.133
SSAHHO,b44,3,0.1
SSAHHO,b25,3,0.1
SSAHHO,b57,3,0.1
SSAHHO,b99,2,0.067
SSAHHO,b46,2,0.067
SSAHHO,b21,2,0.067
SSAHHO,b26,2,0.067
SSAHHO,b50,1,0.033
SSAHHO,b28,1,0.033
SSAHHO,b32,1,0.033
SSAHHO,b43,1,0.033
SSAHHO,b105,1,0.033
SSAHHO,b73,1,0.033
SSAHHO,b34,1,0.033
SSAHHO,b20,1,0.033
SSAHHO,b56,1,0.033
SSAHHO,b17,1,0.033
SSAHHO,b39,1,0.033
SSAHHO,b30,1,0.033
SSAHHO,b52,1,0.033
SSAHHO,b42,1,0.033
SSAHHO,b111,1,0.033
SSAHHO,b54,1,0.033
SSAHHO,b33,1,0.033
SSAHHO,b103,1,0.033
SSAHHO,b27,1,0.033
SSAHHO,b96,1,0.033
SSAHHO,b55,1,0.033
