variant,band,count,frequency
HHO,b27,11,0.275
HHO,b109,11,0.275
HHO,b68,9,0.225
HHO,b62,6,0.15
HHO,b18,6,0.15
HHO,b90,6,0.15
HHO,b26,5,0.125
HHO,b150,4,0.1
HHO,b19,4,0.1
HHO,b110,4,0.1
HHO,b111,4,0.1
HHO,b47,3,0.075
HHO,b15,3,0.075
HHO,b69,3,0.075
HHO,b17,3,0.075
HHO,b59,3,0.075
HHO,b28,3,0.075
HHO,b80,3,0.075
HHO,b14,3,0.075
HHO,b67,3,0.075
HHO,b128,3,0.075
HHO,b16,3,0.075
HHO,b73,3,0.075
HHO,b89,3,0.075
HHO,b102,3,0.075
HHO,b76,2,0.05
HHO,b160,2,0.05
HHO,b84,2,0.05
HHO,b108,2,0.05
HHO,b135,2,0.05
HHO,b74,2,0.05
HHO,b82,2,0.05
HHO,b149,2,0.05
HHO,b70,2,0.05
HHO,b33,2,0.05
HHO,b107,2,0.05
HHO,b145,2,0.05
HHO,b34,2,0.05
HHO,b129,2,0.05
HHO,b57,1,0.025
HHO,b101,1,0.025
HHO,b122,1,0.025
HHO,b103,1,0.025
HHO,b162,1,0.025
HHO,b95,1,0.025
HHO,b99,1,0.025
HHO,b29,1,0.025
HHO,b32,1,0.025
HHO,b37,1,0.025
HHO,b40,1,0.025
HHO,b61,1,0.025
HHO,b65,1,0.025
HHO,b87,1,0.025
HHO,b156,1,0.025
HHO,b161,1,0.025
HHO,b53,1,0.025
HHO,b91,1,0.025
HHO,b143,1,0.025
HHO,b159,1,0.025
HHO,b46,1,0.025
HHO,b71,1,0.025
HHO,b119,1,0.025
HHO,b139,1,0.025
HHO,b72,1,0.025
HHO,b77,1,0.025
HHO,b118,1,0.025
HHO,b85,1,0.025
HHO,b106,1,0.025
HHO,b83,1,0.025
HHO,b63,1,0.025
HHO,b31,1,0.025
HHO,b42,1,0.025
HHO,b138,1,0.025
HHO,b144,1,0.025
HHO,b36,1,0.025
HHO,b120,1,0.025
MSHHO_I1,b68,10,0.25
MSHHO_I1,b109,10,0.25
MSHHO_I1,b62,9,0.225
MSHHO_I1,b18,7,0.175
MSHHO_I1,b63,7,0.175
MSHHO_I1,b27,6,0.15
MSHHO_I1,b107,6,0.15
MSHHO_I1,b110,6,0.15
MSHHO_I1,b17,5,0.125
MSHHO_I1,b91,5,0.125
MSHHO_I1,b69,5,0.125
MSHHO_I1,b108,5,0.125
MSHHO_I1,b73,4,0.1
MSHHO_I1,b26,4,0.1
MSHHO_I1,b150,4,0.1
MSHHO_I1,b15,4,0.1
MSHHO_I1,b67,4,0.1
MSHHO_I1,b77,4,0.1
MSHHO_I1,b94,4,0.1
MSHHO_I1,b148,4,0.1
MSHHO_I1,b84,3,0.075
MSHHO_I1,b114,3,0.075
MSHHO_I1,b83,3,0.075
MSHHO_I1,b90,3,0.075
MSHHO_I1,b58,3,0.075
MSHHO_I1,b45,3,0.075
MSHHO_I1,b99,3,0.075
MSHHO_I1,b120,3,0.075
MSHHO_I1,b118,3,0.075
MSHHO_I1,b33,3,0.075
MSHHO_I1,b106,3,0.075
MSHHO_I1,b29,3,0.075
MSHHO_I1,b57,2,0.05
MSHHO_I1,b93,2,0.05
MSHHO_I1,b101,2,0.05
MSHHO_I1,b89,2,0.05
MSHHO_I1,b82,2,0.05
MSHHO_I1,b100,2,0.05
MSHHO_I1,b111,2,0.05
MSHHO_I1,b126,2,0.05
MSHHO_I1,b37,2,0.05
MSHHO_I1,b59,2,0.05
MSHHO_I1,b117,2,0.05
MSHHO_I1,b61,2,0.05
MSHHO_I1,b85,2,0.05
MSHHO_I1,b96,2,0.05
MSHHO_I1,b123,2,0.05
MSHHO_I1,b102,2,0.05
MSHHO_I1,b78,2,0.05
MSHHO_I1,b43,2,0.05
MSHHO_I1,b142,1,0.025
MSHHO_I1,b141,1,0.025
MSHHO_I1,b65,1,0.025
MSHHO_I1,b28,1,0.025
MSHHO_I1,b75,1,0.025
MSHHO_I1,b88,1,0.025
MSHHO_I1,b21,1,0.025
MSHHO_I1,b23,1,0.025
MSHHO_I1,b39,1,0.025
MSHHO_I1,b92,1,0.025
MSHHO_I1,b22,1,0.025
MSHHO_I1,b105,1,0.025
MSHHO_I1,b113,1,0.025
MSHHO_I1,b149,1,0.025
MSHHO_I1,b46,1,0.025
MSHHO_I1,b48,1,0.025
MSHHO_I1,b86,1,0.025
MSHHO_I1,b146,1,0.025
MSHHO_I1,b139,1,0.025
MSHHO_I1,b71,1,0.025
MSHHO_I1,b112,1,0.025
MSHHO_I1,b129,1,0.025
MSHHO_I1,b49,1,0.025
MSHHO_I1,b119,1,0.025
MSHHO_I1,b144,1,0.025
MSHHO_I1,b74,1,0.025
MSHHO_I1,b128,1,0.025
MSHHO_I1,b138,1,0.025
MSHHO_I1,b158,1,0.025
MSHHO_I1,b97,1,0.025
MSHHO_I1,b104,1,0.025
MSHHO_I1,b124,1,0.025
