variant,band_name,count,frequency
HHO,b53,10,0.333
HHO,b107,7,0.233
HHO,b42,6,0.2
HHO,b105,4,0.133
HHO,b40,4,0.133
HHO,b49,4,0.133
HHO,b23,4,0.133
HHO,b56,3,0.1
HHO,b38,3,0.1
HHO,b106,3,0.1
HHO,b46,3,0.1
HHO,b100,3,0.1
HHO,b22,3,0.1
HHO,b96,3,0.1
HHO,b39,3,0.1
HHO,b45,2,0.067
HHO,b71,2,0.067
HHO,b72,2,0.067
HHO,b44,2,0.067
HHO,b21,2,0.067
HHO,b69,2,0.067
HHO,b65,2,0.067
HHO,b99,2,0.067
HHO,b32,2,0.067
HHO,b24,2,0.067
HHO,b26,2,0.067
HHO,b29,2,0.067
HHO,b17,1,0.033
HHO,b43,1,0.033
HHO,b34,1,0.033
HHO,b15,1,0.033
HHO,b51,1,0.033
HHO,b28,1,0.033
HHO,b95,1,0.033
HHO,b101,1,0.033
HHO,b27,1,0.033
HHO,b47,1,0.033
HHO,b102,1,0.033
HHO,b20,1,0.033
HHO,b104,1,0.033
HHO,b103,1,0.033
HHO,b55,1,0.033
HHO,b54,1,0.033
HHO,b31,1,0.033
HHO,b41,1,0.033
HHO,b62,1,0.033
HHO,b70,1,0.033
HHO,b37,1,0.033
+SCI,b99,7,0.233
+SCI,b53,7,0.233
+SCI,b49,5,0.167
+SCI,b62,4,0.133
+SCI,b70,4,0.133
+SCI,b104,4,0.133
+SCI,b48,3,0.1
+SCI,b100,3,0.1
+SCI,b28,3,0.1
+SCI,b23,3,0.1
+SCI,b32,3,0.1
+SCI,b21,3,0.1
+SCI,b29,3,0.1
+SCI,b42,3,0.1
+SCI,b31,3,0.1
+SCI,b63,3,0.1
+SCI,b103,3,0.1
+SCI,b106,3,0.1
+SCI,b107,3,0.1
+SCI,b41,2,0.067
+SCI,b40,2,0.067
+SCI,b47,2,0.067
+SCI,b22,2,0.067
+SCI,b102,2,0.067
+SCI,b45,2,0.067
+SCI,b55,2,0.067
+SCI,b69,2,0.067
+SCI,b65,2,0.067
+SCI,b98,2,0.067
+SCI,b44,2,0.067
+SCI,b97,2,0.067
+SCI,b71,2,0.067
+SCI,b38,1,0.033
+SCI,b24,1,0.033
+SCI,b108,1,0.033
+SCI,b51,1,0.033
+SCI,b95,1,0.033
+SCI,b39,1,0.033
+SCI,b33,1,0.033
+SCI,b111,1,0.033
+SCI,b36,1,0.033
+SCI,b66,1,0.033
+SCI,b77,1,0.033
+SCI,b78,1,0.033
+SCI,b27,1,0.033
+SCI,b54,1,0.033
+SCI,b43,1,0.033
+SCI,b52,1,0.033
+SCI,b34,1,0.033
+SCI,b18,1,0.033
+SCI,b96,1,0.033
+SCI,b67,1,0.033
+SCI,b84,1,0.033
+SCI,b57,1,0.033
+SCI,b110,1,0.033
+SCI,b37,1,0.033
+SCI+SDGE,b62,5,0.167
+SCI+SDGE,b38,4,0.133
+SCI+SDGE,b21,4,0.133
+SCI+SDGE,b24,4,0.133
+SCI+SDGE,b53,4,0.133
+SCI+SDGE,b49,4,0.133
+SCI+SDGE,b99,3,0.1
+SCI+SDGE,b106,3,0.1
+SCI+SDGE,b31,3,0.1
+SCI+SDGE,b54,3,0.1
+SCI+SDGE,b43,3,0.1
