variant,band_name,count,frequency
HHO,b53,10,0.333
HHO,b107,7,0.233
HHO,b42,6,0.2
HHO,b105,4,0.133
HHO,b40,4,0.133
HHO,b49,4,0.133
HHO,b23,4,0.133
HHO,b56,3,0.1
HHO,b38,3,0.1
HHO,b106,3,0.1
HHO,b46,3,0.1
HHO,b100,3,0.1
HHO,b22,3,0.1
HHO,b96,3,0.1
HHO,b39,3,0.1
HHO,b45,2,0.067
HHO,b71,2,0.067
HHO,b72,2,0.067
HHO,b44,2,0.067
HHO,b21,2,0.067
HHO,b69,2,0.067
HHO,b65,2,0.067
HHO,b99,2,0.067
HHO,b32,2,0.067
HHO,b24,2,0.067
HHO,b26,2,0.067
HHO,b29,2,0.067
HHO,b17,1,0.033
HHO,b43,1,0.033
HHO,b34,1,0.033
HHO,b15,1,0.033
HHO,b51,1,0.033
HHO,b28,1,0.033
HHO,b95,1,0.033
HHO,b101,1,0.033
HHO,b27,1,0.033
HHO,b47,1,0.033
HHO,b102,1,0.033
HHO,b20,1,0.033
HHO,b104,1,0.033
HHO,b103,1,0.033
HHO,b55,1,0.033
HHO,b54,1,0.033
HHO,b31,1,0.033
HHO,b41,1,0.033
HHO,b62,1,0.033
HHO,b70,1,0.033
HHO,b37,1,0.033
SSAHHO,b49,8,0.267
SSAHHO,b71,7,0.233
SSAHHO,b38,6,0.2
SSAHHO,b53,6,0.2
SSAHHO,b62,5,0.167
SSAHHO,b17,5,0.167
SSAHHO,b99,5,0.167
SSAHHO,b107,4,0.133
SSAHHO,b28,4,0.133
SSAHHO,b106,4,0.133
SSAHHO,b46,3,0.1
SSAHHO,b27,3,0.1
SSAHHO,b24,3,0.1
SSAHHO,b23,3,0.1
SSAHHO,b30,3,0.1
SSAHHO,b96,3,0.1
SSAHHO,b26,2,0.067
SSAHHO,b25,2,0.067
SSAHHO,b45,2,0.067
SSAHHO,b29,2,0.067
SSAHHO,b55,2,0.067
SSAHHO,b98,1,0.033
SSAHHO,b82,1,0.033
SSAHHO,b91,1,0.033
SSAHHO,b77,1,0.033
SSAHHO,b80,1,0.033
SSAHHO,b95,1,0.033
SSAHHO,b57,1,0.033
SSAHHO,b100,1,0.033
SSAHHO,b56,1,0.033
SSAHHO,b54,1,0.033
SSAHHO,b105,1,0.033
SSAHHO,b72,1,0.033
SSAHHO,b22,1,0.033
SSAHHO,b19,1,0.033
SSAHHO,b109,1,0.033
SSAHHO,b42,1,0.033
SSAHHO,b40,1,0.033
SSAHHO,b63,1,0.033
SSAHHO,b47,1,0.033
SSAHHO,b104,1,0.033
