variant,band,count,frequency
HHO,b27,15,0.375
HHO,b28,14,0.35
HHO,b69,13,0.325
HHO,b119,12,0.3
HHO,b62,10,0.25
HHO,b68,9,0.225
HHO,b26,8,0.2
HHO,b61,7,0.175
HHO,b33,7,0.175
HHO,b67,7,0.175
HHO,b134,7,0.175
HHO,b88,6,0.15
HHO,b15,6,0.15
HHO,b136,6,0.15
HHO,b106,6,0.15
HHO,b131,6,0.15
HHO,b109,6,0.15
HHO,b103,6,0.15
HHO,b99,5,0.125
HHO,b98,5,0.125
HHO,b135,5,0.125
HHO,b128,5,0.125
HHO,b159,5,0.125
HHO,b149,5,0.125
HHO,b81,4,0.1
HHO,b82,4,0.1
HHO,b160,4,0.1
HHO,b25,4,0.1
HHO,b80,4,0.1
HHO,b32,4,0.1
HHO,b75,4,0.1
HHO,b152,4,0.1
HHO,b93,4,0.1
HHO,b104,4,0.1
HHO,b129,4,0.1
HHO,b17,4,0.1
HHO,b14,4,0.1
HHO,b148,4,0.1
HHO,b125,4,0.1
HHO,b64,4,0.1
HHO,b83,4,0.1
HHO,b126,3,0.075
HHO,b34,3,0.075
HHO,b130,3,0.075
HHO,b35,3,0.075
HHO,b65,3,0.075
HHO,b16,3,0.075
HHO,b63,3,0.075
HHO,b138,3,0.075
HHO,b108,3,0.075
HHO,b66,3,0.075
HHO,b137,3,0.075
HHO,b141,3,0.075
HHO,b161,3,0.075
HHO,b59,3,0.075
HHO,b122,3,0.075
HHO,b47,3,0.075
HHO,b48,3,0.075
HHO,b110,3,0.075
HHO,b118,3,0.075
HHO,b155,3,0.075
HHO,b123,3,0.075
HHO,b19,3,0.075
HHO,b105,2,0.05
HHO,b22,2,0.05
HHO,b36,2,0.05
HHO,b38,2,0.05
HHO,b116,2,0.05
HHO,b121,2,0.05
HHO,b139,2,0.05
HHO,b140,2,0.05
HHO,b153,2,0.05
HHO,b112,2,0.05
HHO,b158,2,0.05
HHO,b74,2,0.05
HHO,b145,2,0.05
HHO,b147,2,0.05
HHO,b92,2,0.05
HHO,b150,2,0.05
HHO,b70,2,0.05
HHO,b73,2,0.05
HHO,b94,2,0.05
HHO,b113,2,0.05
HHO,b133,2,0.05
HHO,b120,2,0.05
HHO,b89,2,0.05
HHO,b101,2,0.05
